"OBJECTID","output_nc_name","old_nc_name","new_nc_name","nc_id","WADDRESS","DWEBSITE","DEMAIL","DPHONE","CERTIFIED","TOOLTIP","NLA_URL","SERVICE_RE"
84,"VENICE NC","VENICE NC","VENICE NC",68,"http://www.venicenc.org/","http://empowerla.org/VNC","VeniceNC@EmpowerLA.org","213-978-1551",2002-03-12,"VENICE NC","navigatela/reports/nc_reports.cfm?id=68","REGION 11 - WEST LA"
85,"VOICES OF 90037","VOICES OF 90037","VOICES NC",109,"https://www.voicesnc.org","https://empowerla.org/voicesof90037/","V9NC@EmpowerLA.org","213-978-1551",2008-06-16,"VOICES NC","navigatela/reports/nc_reports.cfm?id=109","REGION 9 - SOUTH LA 2"
86,"WATTS NC","WATTS NC","WATTS NC",88,"http://thewattsnc.com/","http://empowerla.org/WATTS","WattsNC@EmpowerLA.org","213-978-1551",2002-12-03,"WATTS NC","navigatela/reports/nc_reports.cfm?id=88","REGION 9 - SOUTH LA 2"
87,"WEST ADAMS NC","WEST ADAMS NC","WEST ADAMS NC",75,"http://www.westadamsnc.org/","http://empowerla.org/WANC","WANC@EmpowerLA.org","213-978-1551",2002-02-19,"WEST ADAMS NC","navigatela/reports/nc_reports.cfm?id=75","REGION 10 - SOUTH LA 1"
88,"WEST HILLS NC","WEST HILLS NC","WEST HILLS NC",11,"http://www.westhillsnc.org/","http://empowerla.org/WHNC","WHNC@EmpowerLA.org","213-978-1551",2002-01-22,"WEST HILLS NC","navigatela/reports/nc_reports.cfm?id=11","REGION 3 - SOUTH WEST VALLEY"
89,"WEST LOS ANGELES NC","WEST LOS ANGELES NC","WEST LOS ANGELES SAWTELLE NC",66,"http://www.wlanc.com/","http://empowerla.org/WLANC","WLANC@EmpowerLA.org","213-978-1551",2003-10-07,"WEST LOS ANGELES SAWTELLE NC","navigatela/reports/nc_reports.cfm?id=66","REGION 11 - WEST LA"
91,"WESTLAKE NORTH NC","WESTLAKE NORTH NC","WESTLAKE NORTH NC",97,"https://www.westlakenorthnc.org","https://empowerla.org/wnnc/","WNNC@EmpowerLA.org","213-978-1551",2011-06-07,"WESTLAKE NORTH NC","navigatela/reports/nc_reports.cfm?id=97","REGION 6 - CENTRAL 2"
92,"WESTLAKE SOUTH NC","WESTLAKE SOUTH NC","WESTLAKE SOUTH NC",121,"https://www.wsncla.org","https://empowerla.org/wsnc/","WSNC@EmpowerLA.org","213-978-1551",2011-06-07,"WESTLAKE SOUTH NC","navigatela/reports/nc_reports.cfm?id=121","REGION 6 - CENTRAL 2"
93,"WESTSIDE NC","WESTSIDE NC","WESTSIDE NC",62,"http://www.wncla.org/","http://empowerla.org/WNC","WNC@EmpowerLA.org","213-978-1551",2002-06-04,"WESTSIDE NC","navigatela/reports/nc_reports.cfm?id=62","REGION 11 - WEST LA"
94,"WESTWOOD NC","WESTWOOD NC","WESTWOOD NC",63,"http://www.wwnc.org/","http://empowerla.org/WWNC","WWNC@EmpowerLA.org","213-978-1551",2010-01-19,"WESTWOOD NC","navigatela/reports/nc_reports.cfm?id=63","REGION 11 - WEST LA"
95,"WILMINGTON NC","WILMINGTON NC","WILMINGTON NC",93,"http://www.wilmingtonneighborhoodcouncil.com/","http://empowerla.org/WILMINGTON","WilmingtonNC@EmpowerLA.org","213-978-1551",2001-12-11,"WILMINGTON NC","navigatela/reports/nc_reports.cfm?id=93","REGION 12 - HARBOR"
96,"WILSHIRE CENTER - KOREATOWN NC","WILSHIRE CENTER - KOREATOWN NC","WILSHIRE CENTER - KOREATOWN NC",55,"http://wcknc.org/","http://empowerla.org/WCKNC","WCKNC@EmpowerLA.org","213-978-1551",2003-08-05,"WILSHIRE CENTER - KOREATOWN NC","navigatela/reports/nc_reports.cfm?id=55","REGION 6 - CENTRAL 2"
97,"WINNETKA NC","WINNETKA NC","WINNETKA NC",14,"http://www.winnetkanc.com/","http://empowerla.org/WINNETKA","WinnetkaNC@EmpowerLA.org","213-978-1551",2003-07-22,"WINNETKA NC","navigatela/reports/nc_reports.cfm?id=14","REGION 3 - SOUTH WEST VALLEY"
98,"WOODLAND HILLS-WARNER CENTER NC","WOODLAND HILLS-WARNER CENTER NC","WOODLAND HILLS-WARNER CENTER NC",16,"http://www.whcouncil.org/index.php","http://empowerla.org/WHWCNC","WHWCNC@EmpowerLA.org","213-978-1551",2002-03-06,"WOODLAND HILLS-WARNER CENTER NC","navigatela/reports/nc_reports.cfm?id=16","REGION 3 - SOUTH WEST VALLEY"
99,"ZAPATA KING NC","ZAPATA KING NC","ZAPATA-KING NC",125,"http://www.zapatakingnc.org/","http://empowerla.org/ZKNC",NA,"213-978-1551",2015-02-03,"ZAPATA-KING NC","navigatela/reports/nc_reports.cfm?id=125","REGION 9 - SOUTH LA 2"
